rank,researcher,institution,theses,research_score
1,AKSHATHA PRASANNA,R V College of Engineering,4,12
2,Atheeth S,Indian Institute of Science Bangalore,3,9
3,Suma N,R V College of Engineering,2,6
4,Kalyan N,R V College of Engineering,2,6
5,Kumar Kundan,Indian Institute of Science Bangalore,2,6
6,Shrivastava Swapnil,International Institute of Information Technology Bangalore,2,6
7,Kumar Naveen,Indian Institute of Science Bangalore,2,6
8,Jayant Hemang Kumar,Indian Institute of Science Bangalore,2,6
9,Vanishree K,R V College of Engineering,2,6
10,Sumantha H S,B.M.S. College of Engineering,2,6
11,Singh Prachi,Indian Institute of Science Bangalore,2,6
12,Pushkar Dasika,Indian Institute of Science Bangalore,2,6
13,Nanditha Krishna,R V College of Engineering,2,6
14,Shobha N S,R V College of Engineering,2,6
15,Anitha H M,B.M.S. College of Engineering,2,6
16,M Santoshi Kumari,B.M.S. College of Engineering,2,6
17,VIDYA PATIL,R V College of Engineering,2,6
18,Nareddy Kartheek Kumar Reddy,Indian Institute of Science Bangalore,2,6
19,Dube Anoop Kumar,Indian Institute of Science Bangalore,2,6
20,Meleet Merin,R V College of Engineering,2,6
21,Chandravanshi Dharita,Indian Institute of Science Bangalore,2,6
22,Mishra Arpita,Indian Institute of Science Bangalore,2,6
23,Sruthi C S,Indian Institute of Science Bangalore,2,6
24,Jyothi R,R V College of Engineering,2,6
25,Sharma Shubham,Indian Institute of Science Bangalore,2,6
26,Jeny Varghese,M.S. Ramaiah Institute of Technology,2,6
27,V P Sanjay,International Institute of Information Technology Bangalore,2,6
28,ROOPA T S,R V College of Engineering,1,3
29,Raghavendra G S,Indian Institute of Science Bangalore,1,3
30,Radhika V,Indian Institute of Science Bangalore,1,3
31,Raghuram K S Gannena,Indian Institute of Science Bangalore,1,3
32,RAVIKUMAR J,R V College of Engineering,1,3
33,Raghavendra Venkata,Indian Institute of Science Bangalore,1,3
34,Raghu Ramkumar,Indian Institute of Science Bangalore,1,3
35,A Parthiban,International Institute of Information Technology Bangalore,1,3
36,Raghuram S,Indian Institute of Science Bangalore,1,3
37,Raha Soumyendu,Indian Institute of Science Bangalore,1,3
38,Rahaman Obaidur,Indian Institute of Science Bangalore,1,3
39,RAMAVENKATESWARAN N,R V College of Engineering,1,3
40,Rahul R,Indian Institute of Science Bangalore,1,3
41,Raina Ankur,Indian Institute of Science Bangalore,1,3
42,Raj Rishi,Indian Institute of Science Bangalore,1,3
43,Raj Subin,Indian Institute of Science Bangalore,1,3
44,Rajamanickam Kuppuraj,Indian Institute of Science Bangalore,1,3
45,Rajan Anushree,Indian Institute of Science Bangalore,1,3
46,Rajani Katiyar,R V College of Engineering,1,3
47,Rajasree P M,R V College of Engineering,1,3
48,Rajath S,Indian Institute of Science Bangalore,1,3
49,Rajendra P,M.S. Ramaiah Institute of Technology,1,3
50,RANGANI G,R V College of Engineering,1,3
51,R Pramod,Indian Institute of Science Bangalore,1,3
52,RAMACHANDRA BALLARY,B.M.S. College of Engineering,1,3
53,Prajwala T R,CMR Institute of Technology,1,3
54,Praveena T,R V College of Engineering,1,3
55,Praveen Kumar K,R V College of Engineering,1,3
56,Prathima B,Indian Institute of Science Bangalore,1,3
57,Prapulla S B,R V College of Engineering,1,3
58,Pramod Sunagar,M.S. Ramaiah Institute of Technology,1,3
59,Prakasha H T,Dayananda Sagar College of Engineering,1,3
60,Prakash Hadimani,R V College of Engineering,1,3
61,Pradima Britto J,M.S. Ramaiah Institute of Technology,1,3
62,RAGHAVENDRA DEVADAS,R V College of Engineering,1,3
63,Pradhan Jyoti Ranjan,Indian Institute of Science Bangalore,1,3
64,Pradhan Dillip Kumar,Indian Institute of Science Bangalore,1,3
65,Pradeep S,M.S. Ramaiah Institute of Technology,1,3
66,Pradeep M,Indian Institute of Science Bangalore,1,3
67,Prabhu S Sumanth,Indian Institute of Science Bangalore,1,3
68,Prabhu Akhilesh M,Indian Institute of Science Bangalore,1,3
