rank,researcher,institution,theses,research_score
1,AKSHATHA PRASANNA,R V College of Engineering,4,12
2,JYOTHI R,R V College of Engineering,3,9
3,Atheeth S,Indian Institute of Science Bangalore,3,9
4,VIDYA PATIL,R V College of Engineering,3,9
5,Jayant Hemang Kumar,Indian Institute of Science Bangalore,2,6
6,Kalyan N,R V College of Engineering,2,6
7,M Santoshi Kumari,B.M.S. College of Engineering,2,6
8,Kumar Naveen,Indian Institute of Science Bangalore,2,6
9,Jeny Varghese,M.S. Ramaiah Institute of Technology,2,6
10,Kumar Kundan,Indian Institute of Science Bangalore,2,6
11,Chandravanshi Dharita,Indian Institute of Science Bangalore,2,6
12,Anitha H M,B.M.S. College of Engineering,2,6
13,Dube Anoop Kumar,Indian Institute of Science Bangalore,2,6
14,Meleet Merin,R V College of Engineering,2,6
15,Mishra Arpita,Indian Institute of Science Bangalore,2,6
16,Nanditha Krishna,R V College of Engineering,2,6
17,Nareddy Kartheek Kumar Reddy,Indian Institute of Science Bangalore,2,6
18,Pushkar Dasika,Indian Institute of Science Bangalore,2,6
19,Sharma Shubham,Indian Institute of Science Bangalore,2,6
20,Shobha N S,R V College of Engineering,2,6
21,Shrivastava Swapnil,International Institute of Information Technology Bangalore,2,6
22,SHUBHA B BARAVANI,R V College of Engineering,2,6
23,Singh Prachi,Indian Institute of Science Bangalore,2,6
24,Sruthi C S,Indian Institute of Science Bangalore,2,6
25,Suma N,R V College of Engineering,2,6
26,Sumantha H S,B.M.S. College of Engineering,2,6
27,V P Sanjay,International Institute of Information Technology Bangalore,2,6
28,Vanishree K,R V College of Engineering,2,6
29,Yadav Sangeeta,Indian Institute of Science Bangalore,1,3
30,Yadav Shivani,Indian Institute of Science Bangalore,1,3
31,Yaduraj,R V College of Engineering,1,3
32,Yarajena Sai Saraswathi,Indian Institute of Science Bangalore,1,3
33,Yarra Chiranjeevi,Indian Institute of Science Bangalore,1,3
34,Yasodharan Sarath Ampadi,Indian Institute of Science Bangalore,1,3
35,Yatish Muddappa,B.M.S. College of Engineering,1,3
36,Yazar K U,Indian Institute of Science Bangalore,1,3
37,Yeggina Subash,Indian Institute of Science Bangalore,1,3
38,Yousuf Mohamed Amali Uthuman,Indian Institute of Science Bangalore,1,3
39,Yuvaraj I,Indian Institute of Science Bangalore,1,3
40,Addanki Tirumala Nireekshit,Indian Institute of Science Bangalore,1,3
41,Ahuja Kartika,Indian Institute of Science Bangalore,1,3
42,Ajay K M,R V College of Engineering,1,3
43,Ajey S N R,CMR Institute of Technology,1,3
44,Ajith Gopika,Indian Institute of Science Bangalore,1,3
45,Ajith S,Indian Institute of Science Bangalore,1,3
46,AKSHATHA M D,R V College of Engineering,1,3
47,Alakesh,Indian Institute of Science Bangalore,1,3
48,Alamuru Susmitha,CMR Institute of Technology,1,3
49,Alekya B,Indian Institute of Science Bangalore,1,3
50,Alexander Ann Ashlin,Indian Institute of Science Bangalore,1,3
51,Aliyu Ahmed,Indian Institute of Science Bangalore,1,3
52,Amaresh C,R V College of Engineering,1,3
53,Ambadi Niranjana,Indian Institute of Science Bangalore,1,3
54,Amith Shekhar C,R V College of Engineering,1,3
55,Amulyashree S,R V College of Engineering,1,3
56,Anagha K Kowshik,PES University,1,3
57,Anand Deepti J,International Institute of Information Technology Bangalore,1,3
58,Anand R,CMR Institute of Technology,1,3
59,Ananda Kumar S R,PES University,1,3
